stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.41,0,0,0.56,0.85,0,0,0,0.28,0,0,0,0,0,0.85,0,2.82,0,0.28,0,0,30.72,3.38,0.56,0.56,0,2.25,0,0,0.85,0,0,0,0,0,0
21Day,1.85,0,0.37,3.33,3.33,0,0,0,0,1.11,0,0.74,0.74,0,1.85,0,5.18,0,0,1.11,0,15.91,3.7,15.54,0,0,0.74,0.74,0,0,0.37,0,1.11,0,0,0.37
3Month,0,0.94,1.04,4.78,0,0.31,0,0.73,1.77,6.76,4.16,0.1,5.41,0.42,1.35,0.62,2.5,0.42,0,0.94,0.73,0.31,0.21,32.87,0.31,0,0.1,1.14,14.04,0.1,0,0.1,0.1,0.42,4.26,1.35
22Month,0,0.41,0.41,1.5,0,0,0.14,0.55,1.91,8.2,0.68,0.27,4.37,0,0.41,0.96,1.23,0,0.41,0,0,0,0,19.54,0.14,1.5,0,0,6.01,0,0,0,0,0,0,0.27
