stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,1,0,0,0,0,0,1,35,5,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0.28,0.28,0,0,0,0,0,0,0,0,0,0.28,34.95,5.64,1.69,0,0,0,0,28.47,1.41,0.56,0,0,0.56,0.28,0,0,0,0,0,0,0
21Day,0,0.37,3.33,1.11,0,0.74,0,1.11,0,0.37,0,2.96,0,0,1.85,12.58,0.74,0,0,1.11,0,15.17,0.37,0,0,0,0.74,0.37,0,0,0.37,0.37,0.37,0,0
3Month,0,0.62,1.25,0,0.1,0.1,0.21,14.98,0,2.39,1.04,0.94,0.62,0.42,0.21,17.37,0.21,0.1,0,0.62,0.1,0.83,0,0.42,0.1,0,0,0.1,0.1,0.62,0,0,0,0.31,0.52
22Month,0.14,0.41,1.64,0,0,0,0.14,36.49,2.87,7.11,0.68,1.91,1.5,0.14,0,18.86,1.09,0,0.14,0.41,0.14,2.05,0,0.96,0,0.14,0.27,0.27,0,2.6,0.55,0.27,0,0,0.68
