stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0.28,0,0.28,0,0,0,0,0,0,0,0,0.28,0,0,1.69,0.28,0.28,0,0,0,0,0.28,0.85,0,0,0,0.28,0,0,0,0,0.28,0,0,0
21Day,0,0,0,1.11,1.11,0,0,0,0.37,0,0.37,0.37,1.11,0,0,0,1.85,1.11,0,0,0,0,0.37,0.37,0,0.37,0,1.48,0,0.37,0,0,0.37,0,0,1.85
3Month,0,0.21,0.1,2.5,0,0.21,0.1,0.42,2.18,0.1,17.79,2.18,0.83,1.66,0.21,1.14,2.39,1.14,0.21,0,0.52,0.62,0,0,0.21,0,0,0,0.52,0.83,0.31,0,0,0.31,0.31,1.98
22Month,0.14,0.14,0.41,1.91,0,0,0,0.55,3.96,0.27,143.35,0.96,0.55,2.05,0.27,0.14,3.01,1.5,0,2.87,0.41,0,0.27,0,0.41,0.14,0.68,0.14,0.27,1.23,0.27,0.41,0.14,0.14,0,1.23
