stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,1,14,0,2,0,0,0,0,0,0,0,0
72hpf,0.56,0.28,0.56,0,0.85,0,0,0,0,0,0,0,0,0.28,1.69,0,3.1,0,0,0,0,0.56,2.82,0.28,3.38,0,0,0.85,0.28,0.28,0,0,0
21Day,1.11,0.37,0.74,0.37,0.74,0,0.37,0,0,0,0,1.11,0,0,0,1.11,12.95,0,0,3.7,0,1.11,0,0,4.44,1.48,0,0.74,0,0,0,0,1.85
3Month,0.1,0.62,0.31,0,0,0.1,0,1.98,0,0.1,0.42,0.21,0.1,0,0.21,0.42,1.98,0.1,0.1,0.1,0.1,0.31,0,0.1,0.1,0,0.52,0.1,0,0.1,1.25,0.21,1.98
22Month,0,0.82,0,0,0,0,0,2.87,0.14,0.27,0.14,0.14,0,0,0,1.09,1.23,0,0,0,0,0.14,0,0,0,0,0,0.14,0,0,0.14,0,0.41
