stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,14,3,0,0,0,0,0,0,0,0,0,0,0
72hpf,3.95,0.56,0,1.97,0.28,1.97,0,0,0,0,0,0,1.41,4.79,0,6.76,0,0.56,0,0,304.11,18.04,0.56,1.69,6.2,0,0,3.1,0,0,0.56,0,0
21Day,0.74,0,0.37,3.7,0,4.81,0.37,1.11,0.37,0,1.85,1.11,0.74,2.96,0.74,19.61,0,0,0.74,0,179.44,8.14,0.74,4.44,7.03,4.07,0,1.85,0.74,1.48,0.74,0,0.37
3Month,0.1,0,0,0.52,0.1,0,0,0.21,0.73,0.42,0,0.1,0.1,0.21,0.1,11.55,0.42,0,0,0.1,0.83,0.21,0.1,1.25,0.1,0,0.42,0,0.1,0,0,0.1,0
22Month,0,0.27,0.14,0.41,0,0,0,0.41,2.6,0.27,0.14,0.41,0,0.41,0.14,19.95,0,0.14,0.41,0,0.82,0,0,0.27,0.14,0.14,0.14,0.14,0,0,0,0,0.14
