stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0.56,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0.56,0,0,0,11.84,3.66,0,0,0,1.13,0,0,0.56,0,0.56,0,0,0,0
21Day,0.74,0.37,0,4.07,0.37,0,0,0,0,0,0.37,0,0,1.11,0,0.74,0.37,1.85,0,0,0,20.35,1.11,0,0,0,1.11,0,0,0,2.59,2.22,0,0,0,0.37
3Month,0.1,2.6,0.1,2.29,0,0,0.1,0.62,1.14,0,4.06,0.83,1.14,0.52,0.21,0.52,0.73,0.94,0,0.21,0.21,1.77,0,0.1,0.21,0,0,0.21,0.94,0.1,0,0,0,0.31,0.21,0.31
22Month,0,3.83,0.27,1.37,0,0.14,0,0.14,1.91,0.55,12.16,0.82,3.42,1.78,0.27,0.27,1.64,1.91,0.55,0.41,0,3.96,0.27,0.41,0.41,0.14,0,0.27,0.27,0.41,0.14,0,0.14,0,0,0.41
