stage,Epithelial_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
72hpf,0.56,0,0,0,0,0,9.02,0,0,0.28,0,0,0,0,0,0
21Day,0,0,0,0,0.37,0,1.85,0,0.37,0,0,0.37,0.37,0.37,0,0
3Month,0.21,0,0.31,0.1,0.31,0.1,0,0.1,0,0,0.1,0.94,0,0,0.73,0.1
22Month,0.14,0.14,0.55,0,0,0,0,0.14,0,0,0,0.14,0,0,0,0
