stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.13,0,0,0.85,0.85,0,0.28,0,0,0,0,0,0,0.28,1.69,0.28,0.85,0,0,0,135.57,5.64,0.56,0,4.23,0,0.28,0.85,0,0.28,0,0,0,0
21Day,3.33,0,0,1.85,5.92,0,0,0,0.37,0,0.37,0.37,0,0.37,1.85,0.37,3.33,0,0.74,0,161.68,2.59,0.37,0.37,1.48,5.55,0,1.11,0.74,0.74,0.74,0,0,0.37
3Month,0,0.1,0.1,1.35,0,0.1,0,0.42,0.21,2.18,0.31,0.1,1.25,0.31,0.42,0.42,0.42,0,0.21,0.42,1.46,0.31,2.39,0,0.1,0.52,7.59,0.1,0,0,0,0.1,52.63,1.04
22Month,0.14,0.41,0,0.68,0,0.14,0,0.27,0.41,10.11,0.27,0.14,1.09,0,0.55,0.41,0.27,0.41,0.27,0.14,1.37,0.14,3.55,0,0.27,0,4.51,0.27,0,0,0,0,0.27,0.41
