stage,Hepatocyte,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Primordial_germ_cell
21Day,0,0,0,0.37,0
3Month,0,0,0,0.1,0.1
22Month,0.41,0.14,0.14,0,0
