stage,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,0,0,1,1,0
72hpf,0,0,0,0,0,0,0.85,0,0,0
21Day,0,0,0,0,0,0,0.37,0.37,0,0
3Month,0.1,0.1,0.21,0.1,0.1,0.21,0,0,0,0.21
