stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,16,14,0,0,0,0,0,0,0,0,0,0,0
72hpf,13.25,2.25,0,6.48,1.41,12.68,0,0,0,0.28,0,0,0,0.28,0,2.25,24.8,2.82,13.53,0,0.85,0.85,0,1676.15,47.07,1.97,6.48,19.45,0.28,0,11.56,0.85,0.85,1.13,0,0
21Day,4.81,0.74,1.85,12.21,0.37,7.77,2.59,0,0.37,0,0,1.48,0,1.85,1.48,2.22,8.14,1.85,16.65,0.37,0,1.11,0,478.76,14.43,1.85,8.14,3.7,11.47,0.37,7.03,2.22,4.44,0.74,0,0
3Month,0,0.31,0,1.56,0,0,0,0.1,0.31,0.31,0,2.18,0.31,0,1.04,0.21,0.73,0.21,21.12,0.21,0,0,0.21,8.22,0.62,0.94,0.62,0,0.1,2.29,0.31,0.1,0,0.1,0.42,0.52
22Month,0.14,0,0,1.23,0,0,0.14,0.14,0.14,0.41,0.14,7.11,0.27,0.27,0.55,0.14,0.41,0.55,3.96,0.14,0.27,0.27,0,3.96,0.27,1.5,0.96,0,0.41,2.46,0.27,0,0,0,0,0.14
