stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,T_cell
24hpf,0,0,0,0,0,0,0,1,0,0,0,1,4,0,0,0,0,0,0,0
72hpf,1.13,0.28,0.56,0,0,0,0,0,0.56,0,0.28,63.98,0.28,0.85,0,0,0.85,0,0,0
21Day,0.37,0,0.37,0,0,0.37,0.74,0,0.74,0.37,2.59,37,1.11,1.11,0.37,0,0,0.74,1.48,0.74
22Month,0,0,0,0.14,0.96,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0
