stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,3,34,0,0,2,0,0,0,0,0
72hpf,0.28,0,0.85,0.56,0.56,0,0,0,0,0,0,0,0,0,0,0.56,0.85,0,1.41,0,0,0,0,3.1,1.69,0.28,0,1.41,0,0,0,0,0
21Day,0.74,0,1.85,0,0.74,0,0.37,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0.74,0,1.48,0.74,0.37,0,0.37,0,0,0,0,0
3Month,0.1,0,3.43,0,0,0,0,0,1.14,0.1,0,2.7,0.42,0.1,1.77,0.42,0,0.42,0.31,0.21,0,0.31,0.31,1.46,0.1,0.62,0,0,0.42,9.36,0.1,6.45,0.31
22Month,0,0.27,2.32,0,0,0.14,0,0.14,0.55,0.41,0.41,3.69,0,0.14,2.05,0.14,0,0.55,0.68,0,0.14,0,0.14,0.55,0,0.55,1.37,0.14,0,4.65,0,0,0.14
