stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,1,0,0,2,39,0,0,0,0,0,0,0,0,2,0,0,0
72hpf,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85,1.13,0,0.85,0,0,12.4,5.36,0,0,1.41,0,0,0.28,0.28,0,0,0,0,0
21Day,0.74,0,0,2.59,0.37,1.11,0,1.85,0,0,0,0,0,0.37,0,2.22,0,0.37,1.85,0,2.59,0,0.37,5.18,4.07,0.37,0.74,1.11,1.11,0,0.74,0,0.37,0.37,0,0,0
3Month,0,0.31,0.1,1.14,0,0,0.1,0.1,0,0,0.31,0,0,1.14,0.31,0.21,0.42,0.31,0.21,0.73,0.42,0,0.42,0.52,0,2.91,0.1,0,0.21,15.08,0,0.1,0,0,0.21,3.54,0.52
22Month,0,1.23,0.14,1.64,0,0,0,0.14,0.27,0.27,1.37,0.82,0,24.32,0.41,0.82,0.68,0,1.09,2.6,2.46,2.05,0.41,0.96,0,4.78,1.37,0,0,3.83,0.82,0.14,0,0,0,0,0.68
