stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,2,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,16,0,0,0,2,6,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85,0,0,0,0.56,0.28,0,0,0.85,0,0,0,0,0,0
21Day,0,0,0,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0.37,0,0,0,0.37,0,0.37,0,0,0,0
3Month,0,0.21,0.1,1.14,0,0.21,0.1,0.1,0.31,0,0.73,0.21,0.73,0,0.1,0.21,0.52,0.1,0.1,0.1,0,0,0.1,0.21,0.1,0.21,7.91,0.1,0.21,11.03,0.21
22Month,0,0.14,0,0,0,0,0,0,0,0.14,0.14,0,0.14,0,0,0.14,0.55,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0
