stage,Enterocyte,Epithelial_cell,Erythrocyte,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,1,1,0,2,17,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0.85,0,8.46,1.69,0,0,0.85,0,0.28,0.28,0.28,0,0,0
21Day,0,1.11,0.37,0,0,0,0,0.37,0,0.37,0,1.11,0,7.77,1.11,0,0,0,0.37,1.48,1.11,0,0,0,0
3Month,0.1,0.94,0,0.42,0,0.52,0.31,0.52,0.52,0.42,0.1,0.21,0.1,0.21,0,0.31,0,0,0.31,24.24,0.1,0,0.31,12.69,0.1
22Month,0,0.14,0,0.27,0.14,1.23,0,0.27,0,0,0,0.14,0,0,0,0,0.14,0,0,1.91,0,0,0,0,0
