stage,Epithelial_cell,Goblet_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Neural_cell,Osteoblast
72hpf,0,0,0,0,0.28,0.56,0
21Day,1.85,0,0,0,1.11,0,0.37
22Month,0,0.14,0.14,0.14,0,0,0
