stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,0,0,0,0,0,0,0.56,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0
21Day,0,0.37,0,0,0,0,0,0,1.48,0,0,0,0,0,0,0,0,0.37,0,0,0.74,0,0,0,0,0
3Month,0.1,3.43,0,0.1,0.31,0,1.04,0.62,0.1,0.21,0.1,0.21,0.31,0.62,0,0.31,0.31,0,0,0,0.1,0.1,0.42,35.57,0.1,2.6
22Month,0,2.46,0.14,0,0,0.14,1.37,0.27,0,0.68,0,0,0.14,0.14,0.27,0.14,0,0,0,0.27,0,0,0,0.82,0,2.46
