stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0,0,0.56,1.13,0,0,0,0,0,0,0,0
21Day,0,0,0,0.74,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0.37,0,0,0,0.37,0,0,0,0,0.37
3Month,0.1,0.42,0.1,4.99,0.1,0.1,0.52,1.04,1.98,0.83,0.21,1.25,0.42,1.14,1.04,1.46,0.31,0,0.21,0.62,0.31,0,0.21,0.21,0,0.73,0,0.62,0.62,1.56
22Month,0,0.14,0,0.27,0,0.27,0,0.68,0.96,0.14,0,0.41,0,0.27,0.27,0.41,0,0.27,0,0,0.14,0,0.14,0.27,0,0,0.14,0,0,0.27
