stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0.28,0,0,0,0,0.28,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0.37,0,1.85,0,0,0,0.37,0.37,0,0,0,0.37,0,0,0,0,0
3Month,0,0.21,0.94,5.41,0.21,0.1,8.11,0.42,1.66,3.54,0.21,36.51,0.1,0.62,1.14,1.14,0.73,0.62,0,0.94,0,0.94,0.21,0.1,0.73,0.21
22Month,0,0,0.55,0.55,0,0,1.37,0.27,2.6,0.41,0.14,15.17,0,0.14,0.41,0,0,0,0,0,0,0,0,0,0,0.14
