stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,21,5,155,8,0,0,1,0,4,1,0,1,2,6,14,6,1047,0,0,669,460,1,0,9,0,0,1,2,0,0
72hpf,1.41,0,0.85,1.41,7.33,0.28,0,0,0,0,0,0,0,0,0.56,0,10.15,0,0,18.88,7.33,0,0.85,7.05,0,0,0.28,0,0,0
21Day,1.11,0,0,0,5.92,0,0,0,0,0,0,0,0,0,0,0,2.96,0,0,0.74,0.74,0,0,0.37,0.37,0,0,0,0,0
3Month,0.31,0,0.21,0,0,0,0,0,0,0.62,0.1,0,0.31,0.1,0,0,0.21,0,0,0,0,0,0,0,0,0.1,0,0,0.62,0.21
22Month,0.27,0.14,0.55,0,0,0,1.23,37.85,0,4.37,0.27,0.14,0.27,0,0,0.14,0.41,0.14,0.14,0.14,0.14,0,0.14,0,0,0,0,0,0,0.14
