stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.28,0.28,0,0,0,0,0,0,0,0,0,13.25,0.28,0,0,0,0,3.66,0.28,0.85,0,0,0,0.56,0,0,0,0,0,0
21Day,0,0,5.92,1.48,0.37,0,0,0.74,0.37,0,0.37,0,0.37,8.88,3.33,0.74,0,0,0,0,0.74,1.11,0,0,0,0,0.37,1.11,0,0,0,0,0
3Month,0.21,0.52,12.9,25.48,0,0.52,0.1,16.43,0.52,0,6.87,1.77,0.1,116.6,26.73,1.46,1.04,1.87,0,6.66,43.58,0,0,4.78,0.21,0,0,0.62,1.77,0.31,0.42,0.73,1.25
22Month,0,0.27,6.01,7.52,0,0,0,5.6,0.68,0.14,4.37,0.27,0,59.31,1.91,0,0.68,0.55,0.14,2.73,1.91,0,0,1.23,0,0.27,0,0.14,0,0,0,0,0.14
