stage,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Primordial_germ_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,5,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0.56,0.28,0.28,0,0,0
3Month,0.73,0.1,0.52,0.31,0.21,0.21,0.1,0.21,0,0,0,0.1,2.18,19.87
22Month,0,0,0.82,0,0,0,0.27,0,0,0,0,0,0.14,0
