stage,Erythrocyte,Erythrocyte__Liver_,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Retinal_pigment_epithelial_cell,Smooth_muscle_cell
72hpf,0,0,0.28,0,0.28,0.28,0.28,0,0.28,0,0
21Day,0.37,0,0,0.74,0,0.37,0,1.48,0.74,0.37,0
3Month,0,0.1,0,0.21,0,0,0,0.1,0,0,0.31
