stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,14,4,3,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,2.25,0.28,0.28,0,0,0,0,0,0,0,0,0,0.85,5.92,0,1.97,0,0.28,0.28,0,8.17,3.95,0,0.28,0,0.56,0,0,0,0.56,0,0.28,0.28,0,0,0
21Day,0.37,0,5.92,0,0.37,0,0,0,0,0,0,0,1.48,0,1.85,5.55,0.74,0,0.37,0,0.37,0,2.59,2.96,0.37,0,0,0,1.11,0,0,0.74,0,0.37,0,0,0,0
3Month,0,0.1,2.5,0,0,0,0,0.21,0.62,0,0.94,2.08,0.1,0.1,0.42,0.21,0.62,0.31,0,0,0.21,0.1,0.1,0,0.1,0.1,0,0,0,0.1,0.21,0.1,0,0,0,0.1,0.21,0.42
22Month,0,0.14,1.5,0,0,0.14,0.14,0.14,3.01,0,5.6,1.37,0.27,0,0.27,0.14,0.82,0.27,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0.27,0.14,0,0,0,0,0.27
