stage,Endothelial_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Retinal_cell,Retinal_cone_cell
72hpf,0,0,0,0,0,0,0.56,0.28,0.28
21Day,0,0,0,0,0,0,0,0,0.37
3Month,0.1,0,0,0,0,0.1,0,0,0
22Month,0,1.09,0.14,0.14,0.27,0,0,0,0
