stage,Epithelial_cell,Goblet_cell,Hepatocyte,Immune_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Osteoblast,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0
3Month,0.31,0.1,0.31,0.1,0.1,0.1,0.1,0.21,0,0.1,0,0.1,0.94,0,9.99,0
22Month,0,0,0.41,0,0,0,0.27,0,0.14,0,0,0,0.27,0,0,0.14
