stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,3,0,1,0,0,0,0,0,0,7,0,0,3,0,0,1,0,31,1,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0.85,3.1,1.13,0,0,0,0,0,0,0.56,1.13,0,0.85,0,0,0.28,6.48,7.33,0,0,0,0.28,0,0,2.54,0.28,0,0,0
21Day,0,0,0.74,1.48,0.74,4.81,0,0,0,0,0,0,1.11,0,0,0.37,0,0.37,0.37,3.33,3.7,0,0,0,0.37,0.74,0,3.33,0.37,0,0,0
3Month,0,0.1,0.21,12.38,0.21,0,0.1,0.94,1.56,3.33,0.94,2.6,4.06,1.14,1.04,1.04,0.42,0.21,0.62,4.78,0.1,0.21,0.1,0,0.1,0.31,2.39,0.21,0.42,0.21,108.59,0.52
22Month,0,0,0.14,5.19,0,0,0,0,0.68,1.5,0.14,0.55,0.55,0.14,0.14,0.14,0,0,0.27,0.14,0,0,0,0.14,0,0,0.55,0.14,0,0,1.09,0.14
