stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Oocyte,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
21Day,0,0,0,0.37,0,0,0,0,1.85,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0,0,0
3Month,0,0.21,0.94,0,0.1,0.52,0.52,0,57,0.31,1.25,0.1,0.1,0.62,0.21,0.1,0,0,0.1,0.1,0,0.62,0.73,0.21,0.21,0.31
22Month,0.27,0,0.14,0,0.27,0,0.27,0.27,95.65,0.14,1.09,0,0,0.68,0,0,2.05,0.14,0,0,0.14,0,0.14,0.14,0,0
