stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,44.25,0,0.56,0.28,0,0,0,0,0,0,0,0.56,0,0,2.82,0,2.54,0,3.95,1.13,0,0,1.13,0,0,0.28,0,0,0,0,0
21Day,61.05,0,3.33,0.74,0,0,0,1.48,0,1.11,0,0,1.11,0.37,17.02,0,12.21,0.37,3.33,1.48,0,0.74,2.59,2.22,0,0.37,0.37,2.22,0,0,0.37
3Month,1.77,0.21,0.31,0,0.1,0.31,0,1.25,0.21,0,0.1,0,0.21,0,3.85,0.42,3.64,0.1,0,0,0.1,0.1,0.1,0,0.31,0,0,0,0.1,1.14,0.1
22Month,0.27,0.27,0.14,0,0,0.27,0.41,0.68,0,0,0.14,0,0,0,1.23,0,1.37,0,0,0,0,0.14,0,0,0.14,0,0,0,0,0.41,0
