stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0.28,2.54,0.28,0,0.28,0,0,0,0,0.56,0,0.28,0,0,0,0.28,0,0,0,0,0
21Day,0.74,0,0,1.48,0,0,0,0,0,0,0,0,0.37,0.37,0,3.33,0.37,0,0,1.11,0,0.37,0,0,0,0.37,0,1.48,0.37,0,0,0,0.74
3Month,0.1,0.1,0.94,37.34,0.42,0,0.31,1.14,0,3.22,1.35,0.1,27.15,0.21,4.26,5.1,0.83,0.21,0,0.1,0.52,0.21,1.98,0,0,0.42,0.1,16.02,0,0,0.1,2.18,0.73
22Month,0,0.55,0,7.52,0.14,0.14,0.55,3.28,0.68,13.66,0.96,0.27,63.68,0,0.14,2.73,1.5,0.27,0.68,0.41,0.14,0,1.37,1.23,32.25,0,0,17.63,0,0.14,0,0,0.41
