stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,9,0,0,0,0,0,0,0,1,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0
72hpf,0,0.28,0,1.69,0,0,0,0,0,0,0,0,3.1,0.56,1.41,0,0.28,0,0.56,1.13,0.28,0,0,0,0,0,0
21Day,0.37,0,0,4.81,0,0,0,0,0,0.74,0,0,2.59,0,1.85,0,0,0.37,0.37,0,0.37,0,0,0,0.37,0,0
3Month,0,0.42,0.1,4.58,0,1.04,0,0.94,1.56,0,0.1,0,1.77,1.04,1.66,0.1,0,0.1,0,0,0,0.1,0.21,0.1,0,0.94,0.1
22Month,0,0.27,0,1.23,0.14,1.91,0.96,1.91,0.27,0.14,0.27,0,0.55,1.5,1.37,0,0,0.27,0,0,0,0,0,0,0,0,0.14
