stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,3,0,0,0,0,1,17,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0.56,0,4.79,0.28,0.56,0,0,0.28,0,0,0,0.28,0,1.69,2.25,1.13,5.64,0,0.56,0.28,0,3.66,5.07,0,0.28,1.97,0,0,2.54,0.28,0,0,0
21Day,3.7,0.37,0,45.88,0.37,2.59,1.48,0,0.37,0,0,0,2.59,0.37,0.37,25.16,4.07,9.62,0,0,3.7,0,3.7,2.96,0,0.37,3.33,2.22,0,0.37,0.37,0.37,0,5.92
3Month,0,0.42,0.1,19.76,0,0,0,0.1,0.62,0,2.08,0.31,0.52,1.14,0.42,7.91,1.87,0.52,0.1,0,0.42,0.31,0,0,0,0,0,0.21,0.21,0,0,0.31,0.1,4.37
22Month,0,0.27,0.27,4.65,0,0,0.41,0.27,1.5,1.78,8.75,0.27,0.55,1.09,0.14,3.55,4.92,1.09,0,0.14,0.55,0.14,0.14,0,0.14,0,0,0,0,0,0,0,0,2.73
