stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,12,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,6.2,0.85,0,0,0.28,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11,0,0.37,0.37,0,0.37,0.37,0,0,0,0,0
3Month,0,0,0.83,0.1,0.1,0,0.42,0,1.35,0.21,0.42,0,0.42,0.31,0.31,0.42,0.1,0,0,0,0,0.1,0.73,0,0.21,0.31
22Month,0.27,0.14,0.41,0,0,0.14,0.96,0.41,6.15,0.14,0.96,0.14,0,0.14,0.14,0,0.27,0,0.14,0,0,0,0.96,0.14,0,0.14
