stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,2.82,1.13,0.28,0,0,0,0,0,0,0,0,0,0.28,0.85,7.89,0,5.36,0,0,0,0,3.38,1.13,0,0.56,0,14.66,0,0,1.13,0.28,0,0,0
21Day,0.74,0,0,10.36,0.74,0.37,0,0.37,0,0,0,0,0.74,0,0.37,0,0.37,8.51,0.74,17.02,0,0,1.11,0,2.22,0.74,0.37,3.7,0,8.88,1.48,0,0,0,0,0,0
3Month,0.1,1.77,0.1,41.92,0.73,0,0.52,0.42,1.98,1.04,1.87,0.21,5.62,1.25,0.73,2.29,3.02,54.19,1.98,62.83,11.96,0,1.04,1.04,1.35,0.31,0.42,1.66,0,2.39,1.14,1.35,0,0.42,0.73,1.04,1.35
22Month,0,2.87,0.41,5.74,0.41,0,0,0.68,0.27,0.27,0.68,2.19,7.11,0.82,0.68,0.27,0.41,3.01,0.41,24.32,0.68,0.41,0.82,0,0.27,0.41,0.14,0.68,0.14,0.41,0.14,0.27,0,0.14,0.27,0,0.14
