stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0
72hpf,0,1.41,0.56,0,0,0,0,0,0,0,0,0,0,1.41,0,0,0,0,0,0.85,0,0.28,0,0,0,0,0
21Day,0,0.37,0.37,0,0,0,0,0,0,0,0,0.74,0,1.48,0,0,0,0,0,0,0,0,0,0.37,0,0,0
3Month,0.1,1.14,0,0.1,0.21,0.42,2.08,0.62,0.1,0.83,0.1,0.31,0.42,1.87,1.14,0,0.1,0.1,0,0,0,0.1,0.1,3.12,0.1,11.44,0.52
22Month,0,0.41,0,0,0.14,0.68,7.93,0.14,0.14,0.68,0,0.27,0.27,0.41,0,0.14,0.14,0,0.14,0,0.14,0,0,0.68,0.14,0,0.27
