stage,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,1.41,0.28,0,0,0,0,0,0,0,2.54,0,0,0.28,0,0.85,0.56,0.85,0,0.28,0.28,0,0,0,0,0
21Day,0,2.96,0,0,0,1.48,0,0,0,0.37,0.74,0.37,0,0,0.37,0,0.37,0.37,0.37,0,0,0.37,0,0,0,0
3Month,0.31,10.51,0,0.1,0.1,14.98,0.21,1.98,0.21,3.12,2.6,0,0.1,0.21,0.62,1.77,0,0,0.52,0,0,0.31,0.83,0.31,1.77,0.31
22Month,0.14,3.83,0.14,0,0,13.8,0.14,1.78,0.14,6.15,0.68,0,0.14,0.41,0,0,0,0,0.68,0,0,0,1.09,0,0,0.14
