stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0
21Day,0.74,0,0.74,0,0.37,0,0,0,0,1.11,0,0,0,0,1.11,0,0,0.37,0,0,0,0,0,0,0,0,0.37
3Month,0,0.1,0.62,0,3.02,0.21,0,0.73,0.1,0,4.47,0.1,0.1,0.31,0.21,5.1,0.1,0.21,0,0,0,0.1,0.1,0,0.1,0.1,1.04
22Month,0,0,0.14,0.14,0.14,0.27,0.41,2.19,0.14,0,3.96,0,0,0,0.14,0.96,0,0,0,0.14,0.14,0,0.27,0.14,0,0,0.14
