stage,Epithelial_cell,Hepatocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Radial_glia
24hpf,0,0,0,0,1,0
72hpf,0,0,0,0.56,0,0.28
21Day,0,0,0,0.37,0,0
3Month,0.1,0,0.1,0,0,0
22Month,0,0.27,0,0,0,0
