stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Hatching_gland,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_progenitor_cell,Radial_glia
24hpf,0,1,1,1,0,0,1,3,6,0
72hpf,0.28,0.28,0,0,0,0,0,0.28,1.13,0
21Day,0.37,0,0,0,0,0,0,0,0,1.11
3Month,0,0,0.1,0,0,0.1,0,0,0,0
22Month,0,0,0,0,0.27,0,0.14,0,0,0
