stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0,3.95,1.13,0,1.13,0,0,0.28,25.93,0.56,0.85,0
21Day,0,0,0,0.37,0,0,0,0.37,0,0,0,0,0.37,0,0,3.33,0.74,0,0,0.74,0,0,12.95,0,0,0.37
3Month,0.1,0.1,0.94,0,0,0,0.94,0,1.14,0.21,0.31,0,0,0,0.21,0.31,0,0.1,0,0,0.31,0,1.14,0,0.1,0
22Month,0,0,0.41,0,0.41,0.55,2.87,0.27,1.09,0,0,0.27,0.14,0.14,0,0.41,0,0.55,0,0,0.14,0,28.83,0,0.14,0.14
