stage,Enterocyte,Epithelial_cell,Granulocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neurosecretory_cell,Pancreatic_cell,T_cell
3Month,0.1,0.31,0,0,0.42,0,0,0,0,0.21,0.1,0.1,0.1
22Month,0,0.14,0.27,0.14,2.19,0.14,0.27,0.14,0.27,0,0,0,0
