stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
72hpf,0.28,3.38,0,0,0,0,0,0.28,0,0,0,0,0,0,0,1.41,0,1.69,0,0,0,0,28.75,0.56,0,1.41,0,0,0,0,0,0,0
21Day,0.74,0.74,0,5.92,0,0.37,0,1.48,0,0,0,0,0,1.11,0,0.74,0.37,3.33,0,0,0,0,12.95,1.11,0,1.11,0.37,0,0.37,0.37,0,0,0
3Month,0,3.02,0,2.91,0.1,0,0,0.42,0.52,0,0,1.25,0.21,0.1,0.21,1.98,0.83,1.35,0.21,0,0.1,0.1,0,0,0,0.21,0,0.31,0.21,0,0.1,2.7,0.21
22Month,0,2.46,0.14,1.23,0,0,0.14,0,0,0.41,0.41,3.42,0,0,0.41,0.14,1.09,1.09,0,0.14,0,0,0,0,0.14,0,0.14,0.27,0.27,0,0,0,0.27
