stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,2,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,13,0,0,0,0,0,0,0,0,0,0
72hpf,0.56,0,0,0,0,0,0,0,0,0,0,0.28,0.85,0,0.28,0,5.36,1.41,0,0.85,0,0.28,0,0,0.28,0,0,0
21Day,1.11,0,0.37,0.74,0,0,0,0,0,0,0.37,0,0,0,2.22,0,2.22,1.11,0,0.74,0.37,0,0.74,0.37,0.37,0,0,0
3Month,0,1.35,0,0,0.1,0.1,0.42,0.94,0.1,0.1,0.42,0.1,0.31,0.21,0.62,0.31,0.1,0,0.1,0,0.1,5.2,0.1,0,0,0.1,0.31,0
22Month,0.14,0.14,0,0,0,0,0,1.37,0.14,0.14,0,0,0,0,0.82,0,0.14,0,0.27,0,0,0.82,0,0,0,0,0,0.14
