stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,T_cell
24hpf,1,0,0,7,0,0,0,0,0,2,0,0,0,0,0,10,3,14,0,0,0,3,43,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,5.07,0,0.28,0,0,0,1.13,2.25,0,0,0,0.28,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0.74,0,0,0,0,0.37,0,0,0,0.74,0.37,0,0,0,0.74,0.37,0,0,0
3Month,0,0,0,0.1,0,0,0.1,0,0,0,0.1,0.1,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0.94,0.1,0,0
22Month,0.14,2.87,0.68,3.01,0.27,0.14,0.82,6.42,2.46,0,20.63,1.37,0.68,2.46,0.14,0.55,2.6,2.46,1.64,0.68,0.14,0.14,0,0.41,0.14,65.18,0,0.96,0.41,0.68,0.68
