stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
72hpf,0,0,0,0.56,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0,1.97,0,0,0,0,0,0.28,0,0,0,0,0
21Day,0.37,0,0,1.11,0,0,0,0,0,5.18,0,0.37,0.37,0,1.11,0,0.37,0,0,0.37,0,0.37,0,0,0,0,0,0,0,0
3Month,0,0.1,0.31,5.41,0.21,0,0.31,0.62,0,98.4,0.62,0,1.35,0.83,1.46,0.52,0.94,0.21,0.21,0.1,0.31,0,0.73,0.1,0,1.56,0.42,0,1.56,0.31
22Month,0,0.14,0.14,0.96,0.14,0.14,0.27,0.41,1.64,72.56,0.27,0,0.55,0,0.27,0.41,0,0.14,4.65,0,0,0,0.41,0.14,0,0.14,0.14,0.14,0,0.14
