stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0
72hpf,0.28,0,0,0,0,0,0,0,0,0,0,0.28,1.41,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0.37,0.37,0,0,0,0,0,0,0,3.33,4.44,0,0,0,0,0,0,0,0.37,0.37,0,0,0
3Month,0,0,1.46,0.1,0.42,0.1,0,0.83,0.31,0.1,0.62,0.1,0.1,0.1,0.1,0.1,0.52,0.1,0,0.1,0,0,0.21,0,0
22Month,0,0.14,1.09,0,0.82,0.14,0.41,3.55,0.27,0,2.46,0,0,0.27,0.41,0,0.14,0,0,0,0,0,0,0.14,0.14
