stage,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hatching_gland,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Osteoblast,Pancreatic_cell,Retinal_cell,Retinal_cone_cell
24hpf,2,0,0,0,2,0,3,0,0,0,0,0,0,0
72hpf,0.56,0.28,0,0,0,0,10.15,0.28,0.28,0.56,0.28,0,0,0
21Day,20.72,0.37,0.37,0,0,0.37,21.46,0,0.37,1.48,0.74,0.74,0.37,0.37
3Month,0.83,0,0,0.21,0,0.1,0.21,0.1,0.1,0,0,0,0,0
