stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85,0,0,0,0,0,0,0,0.28,0,0,0,0
21Day,0,0,0.37,11.84,0,0,0.74,0,0,0.74,0,1.11,1.48,0.74,0,0.37,0,0,0,0.74,0,0.37,0,0.37,0,0,0.37,0,0,0,0,0,0,0
3Month,0.1,1.14,1.98,100.17,0.1,0.42,0.31,5.72,29.85,12.07,2.29,1.87,50.34,0.83,1.56,4.06,2.18,0.94,0.21,83.11,0.62,0.31,0.21,2.91,0.31,0.31,1.56,0.42,0.1,0.1,0,0.52,1.25,2.18
22Month,0.27,0.14,1.64,41.27,0,0,0,3.01,15.03,5.74,0.14,0.27,28.56,0,0.27,0.82,0.96,0.14,0.27,27.47,0,0.14,0.14,1.78,0,0,0.27,0.14,0.14,0.14,0,0.14,0,0.82
