stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
21Day,0,0.37,3.7,0,4.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0.74,0,0,0
3Month,0.31,1.14,0,17.99,0.83,0.52,0.62,0,0.62,0.21,0,0.62,0.1,0.52,1.04,0.31,0.1,0,0,0.21,0.1,0,0.21,0.1,0,0,1.25,0.1,0.94,0.1
22Month,1.09,1.5,0,11.34,0.55,0.41,0.96,0.27,4.51,1.37,0.14,0.41,0,0.27,2.05,1.91,0.14,0.41,0.27,0.14,0.27,0,0.14,0.27,0.14,0.27,5.6,0.27,0,0.55
