stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Fibroblast,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,198,0,0,2,0,0,0,0,0,0,0,1,0,1,8,0,0,1,19,0,0,0,0,0,0,0
72hpf,56.09,0.28,0,0,0,0,0,0,0,0,0,0.28,0.28,0,0.56,0,0,2.54,1.13,0,0,0,0.28,0,0,0
21Day,102.12,0,0,1.48,1.85,0,0,0,0,0.74,0.37,0,0,0,2.96,0,0,0.37,0.74,0.74,1.85,0,0,0.74,0,0.74
3Month,1.46,0.1,0.1,0.62,0,0.1,0,0.1,0.1,0,0.21,0,0.1,0.21,1.35,0.83,0.1,0,0,0,0,1.25,0,0,0.1,0
22Month,0.14,0,0,0.27,0,0,0.27,1.37,0,0,0.14,0,0,0.14,1.23,0,0,0,0,0,0,0.41,0,0,0,0
