stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Ionocyte,Keratinocyte,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
72hpf,0,0,0.28,0,0,0,0,0.56,0,0,0.28,0,0,0,0,0
21Day,0.37,0,0,0,0,0,0.37,0.37,0,0,0,0.74,0.37,0.37,0,0
3Month,0,0.42,0,0,0.1,0.42,0.1,0.1,0.1,0,0.1,0,0,3.43,3.43,0.1
22Month,0,0,0,0.14,0,0.68,0,0,0,0.14,0,0,0,0,0,0
