stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Hepatocyte,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte
24hpf,2,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0
72hpf,0,0,0.28,0,0,0,0,0.85,0.28,0.85,0,0,0.28,0.28,0,0
21Day,0,0,0.74,0,0,1.85,0.37,0,0,0,0,0,0,0,0,0
3Month,0,0,0.21,0.52,0.1,0.1,0,0,0.1,0,0.1,0.21,0,0,0.1,0.1
22Month,0,0,0,1.23,0,0,0,0,0,0,0,0,0,0,0,0
