stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,3,30,0,0,1,0,0,0,0,0,0,0,0,0
72hpf,2.54,0,0,0,0.28,0,0,0,0,0,0,0,0.28,1.13,0,1.97,0,0,0.28,1.69,3.66,0,0,2.82,0,0,1.13,0.28,0.56,2.54,0,0,0
21Day,7.03,0,0,0.37,1.11,0.37,0.37,0,0,0,0,0,0,0.74,0,4.81,0,1.11,0,1.11,1.11,0,0,2.96,0.74,0.37,0.37,1.11,3.7,2.59,0,0,0
3Month,0,0.21,0.1,1.14,0,0,0,0.42,0.21,2.08,0.94,1.14,0,0.52,0.73,2.29,0.52,0.21,0.31,0.21,0,0.21,0.42,0.21,0.62,29.33,0.1,0,0,0.1,0.31,41.81,0.52
22Month,0,0,0,0.14,0,0,0,0,0,1.64,0,0.27,0,0,0,0.14,0.27,0,0,0,0,0,0,0,0,3.01,0,0,0,0,0,0.27,0
