stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,44,0,1,0,0,0,1,0,0,0
72hpf,0,0,0.56,0.28,0,0,0,0,0,0.28,0,0,0.28,0.28,1.13,0,0,0,2.54,4.79,0,0.85,0,0,0,0.28,0,0,0
21Day,0,0,0.37,0,0,0,0,0,0,0,0,0,1.48,0,5.92,0,0.37,0,1.85,0.74,0,1.85,0,0,0.37,1.11,0,0,0
3Month,0.1,0.1,0.52,0,0.21,0.1,0,0.94,0.62,0.1,0.31,0.1,0.21,0.31,0.62,0,0.1,0.21,0.1,0,0.1,0,21.12,0.1,0,0,0.1,1.98,0.31
22Month,0,0,0.14,0,0,0,0.14,3.01,0,0.27,0,0,0.14,0.14,1.23,0.27,0,0,0,0,0.27,0,0.82,0.14,0,0,0.14,0,0
