stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0.28,0,0,0,0.56,0.28,0,0,0,0,0,0
21Day,0,0,0.37,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0,0.1,1.25,0,0,0.1,0,0.21,0,0,0.1,0.1,0.1,0.21,0.1,0,0,0,0,0,0.1,0.1,0.83,0.52,0.31
22Month,0.14,0,0.41,0,0.14,0.41,0.14,3.42,0.41,0.14,0.27,0.14,0.41,0.14,0,0.41,0.14,0.14,0,0.41,0,0,0,0,0.41
