stage,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_progenitor_cell,Keratinocyte,Macrophage,Muscle_cell,Oligodendrocyte,T_cell
21Day,0.74,0.37,0,0.37,1.48,0.37,0,0.37,0,1.48
3Month,0.21,0,0,0.21,0,0,0.1,0,0.1,0.1
22Month,0.14,0,0.14,0,0.14,0,0,0,0,0
