stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,91,0,0,1,0,0,0,0,0,2,0,0,0
72hpf,4.79,0.28,3.66,1.41,3.38,0.28,0,0,0,0,0.28,0,0.85,5.92,0.85,7.61,0.28,0.28,0.28,234.22,483.65,0,1.97,11.27,0,0,53.83,0.85,0,0.56,0,0,0
21Day,2.22,0,3.7,0,4.44,0,0,0,0,0,1.48,0.74,1.11,1.48,1.11,4.81,0,1.11,0,55.87,91.76,0.37,0.37,1.11,4.44,0,12.21,0.37,1.11,0,0,0,0.37
3Month,0,0,9.88,0,0,0,0.1,0.42,0.1,0.42,0,0.42,0,4.78,0,0,0,0.21,0,1.25,1.87,0.21,0,0,0,0.1,6.55,0,0,0.1,0.1,0.1,0.21
22Month,0,0.14,1.23,0,0,0,0.14,0.14,0.55,0,0,0.55,0,0.27,0.41,0.14,0,0,0,1.91,0.27,0,0,0,0,0.55,5.06,0.55,0,0,0,0,0
