stage,Epithelial_cell,Erythrocyte__Liver_,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0
72hpf,0,0,0,0,0,0.28,0,1.41,0.28,0.28,17.19,2.54,0,1.41,0,0.28,0,0
21Day,0.37,0,0,0.37,0,0,0,0,0,0.37,2.96,0,0.37,0,0,0,0,0
3Month,0.42,0,0.1,0,0.31,0.1,0.1,0.1,0,0.1,0,0,0.21,0,0.31,0,0.21,0.21
22Month,0.82,0.14,1.5,0,0.27,0,0,0,0,0,0.14,0,0.14,0,0,0,0,0
