stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Retinal_cone_cell
24hpf,0,0,0,0,0,0,0,0,41,0,0,0,4,0,0,0,0
72hpf,0.56,0,3.1,0.28,0,0,0,0,36.92,0,0.28,0.85,0.28,0,1.41,0,0
21Day,0,0,5.18,0,0,0.37,0.37,1.48,59.2,0.37,0,0.37,0.37,0.37,0,0.37,0.37
22Month,0,0.14,0.14,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0
