stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia,T_cell
24hpf,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
72hpf,0,0,0,0.28,0,0,0,0,0.56,0.28,0,0.28,23.39,1.97,1.13,0.28,0
21Day,0.37,0,0.37,0,0,0,0,0,3.33,0,0,0,5.55,0,0.37,0,0.74
3Month,0,0,0,0,0,0.31,0,0.62,0.1,0,0.31,0,0,0,0,0,0.1
22Month,0,0,0.27,0,0.14,1.09,0.68,0.27,0.55,0,0.82,0.14,0.14,0,0,0.14,0.27
