stage,Endothelial_cell,Epithelial_cell,Goblet_cell,Hepatocyte,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
72hpf,0,0,0,0,0,0,0.28,0,0,10.99,0.56,0,0.56,0,0
21Day,0,0,0,0,0,0,0.74,0,0,5.92,0.37,0,0,0,0
3Month,0,0.1,0,0.42,0.21,0,0.1,0.1,0.21,0,0,0,0,0.1,0.1
22Month,0.14,0.14,0.14,1.64,0,0.27,0,0,0,0,0,0.14,0,0,0
