stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,2,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,1,10,0,0,3,0,0,0,0,0,0,0,0,0
72hpf,0.56,0.85,0,1.69,0.28,0,0,0,0,0,0,0,0.28,1.69,3.1,4.79,0,0,0,16.07,2.25,0.28,0,3.66,0,0,1.41,0,0,0,0,0,0
21Day,0.74,0,0,4.07,0,0.37,0,0.74,0,0.37,0.74,0,0,2.22,2.59,4.44,0,0,0,4.44,1.11,0,0,2.59,0.74,0,0.37,0,0.74,0,0,0,0
3Month,0.1,0.31,0.1,3.64,0,0,0.1,5.3,1.46,4.47,0,0.52,0,1.56,2.39,0.31,0.1,0,0.1,0,0.1,0.1,0,0.1,0.1,0.21,0,0,0,0,0.42,0.42,0.21
22Month,0,0.14,0,0.96,0,0,0,11.21,3.42,1.78,0,0.27,0,0,3.01,0.41,0,0.27,0,0,0,0,0.14,0.14,0,0.14,0,0.14,0,0.14,0,0,0.27
