stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Macrophage,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0.28,0,0,0,0.28,0,0.28,0,0.56,0,0,0,0,0,0.28,0,0,0
21Day,0,0,0,0,0,0,0.37,3.7,0,5.18,0,0.37,0.37,0,0,0,0,0,0,0,0
3Month,0,0.1,0.1,0,0.62,0.21,0.42,1.66,0.21,13.52,0.1,0,0,0.1,0.1,0.1,0.21,0,0,0.1,0.31
22Month,0.14,0,0,0,0.55,0.68,0.14,2.6,0,4.37,0,0,0,0,0,0,0,0,0.27,0,0.14
